# Time,iL-0,iL-1,iL-2,iL-3,iL-4,iL-5,iL-6,iL-7,iL-8,iL-9,iL-10,iL-11,iL-12,iL-13,iL-14,iL-15,iL-16,iL-17,iL-18,iL-19,iL-20,iL-21,iL-22,iL-23,iL-24,iL-25,iL-26,iL-27,iL-28,iL-29,iL-30,iL-31,iL-32,iL-33,iL-34,iL-35,iL-36,iL-37,iL-38,iL-39,iL-40,iL-41,iL-42,iL-43,iL-44,iL-45,iL-46,iL-47
7.999999999999999638e-07,3.546235011990407582e+00,3.536235011990407351e+00,3.586235011990407617e+00,3.516235011990407333e+00,-2.090791366906474824e+00,-2.120791366906474629e+00,-2.120791366906474629e+00,-2.110791366906474842e+00,1.767550759392485960e+00,1.767550759392485960e+00,1.779550759392485970e+00,1.773550759392485965e+00,2.439245403677058111e+00,2.447245403677058118e+00,2.439245403677058111e+00,2.439245403677058111e+00,6.727817745803358340e-01,6.227817745803357896e-01,6.527817745803358163e-01,6.027817745803357719e-01,-3.574196642685851355e+00,-3.594196642685851373e+00,-3.614196642685851391e+00,-3.594196642685851373e+00,-2.062150279776179040e+00,-2.062150279776179040e+00,-2.032150279776179236e+00,-2.032150279776179236e+00,-4.629752198241407157e+00,-4.669752198241407193e+00,-4.589752198241407122e+00,-4.609752198241406695e+00,1.775742605915267891e+00,1.763742605915267880e+00,1.777742605915267893e+00,1.789742605915267903e+00,2.974404476418865073e+00,3.004404476418864878e+00,2.974404476418865073e+00,2.994404476418864647e+00,-1.039520383693045558e+00,-1.029520383693045549e+00,-1.019520383693045540e+00,-1.029520383693045549e+00,-7.388089528377298265e+00,-7.448089528377297874e+00,-7.488089528377297910e+00,-7.448089528377297874e+00
8.800000000000000449e-07,3.816235011990407600e+00,3.786235011990407351e+00,3.826235011990407386e+00,3.776235011990407564e+00,-1.870791366906474851e+00,-1.870791366906474851e+00,-1.900791366906474877e+00,-1.910791366906474886e+00,1.765550759392485958e+00,1.759550759392485952e+00,1.773550759392485965e+00,1.767550759392485960e+00,2.411245403677058086e+00,2.423245403677058096e+00,2.415245403677058089e+00,2.427245403677058100e+00,1.182781774580335732e+00,1.162781774580335714e+00,1.162781774580335714e+00,1.142781774580335696e+00,-3.374196642685851177e+00,-3.434196642685851231e+00,-3.394196642685851195e+00,-3.414196642685851213e+00,-1.862150279776178863e+00,-1.862150279776178863e+00,-1.872150279776178872e+00,-1.852150279776178854e+00,-4.449752198241407442e+00,-4.449752198241407442e+00,-4.469752198241407015e+00,-4.469752198241407015e+00,1.769742605915267886e+00,1.757742605915267875e+00,1.771742605915267887e+00,1.781742605915267896e+00,3.184404476418865038e+00,3.214404476418864842e+00,3.204404476418865055e+00,3.244404476418864647e+00,-1.029520383693045549e+00,-1.039520383693045558e+00,-1.049520383693045567e+00,-1.019520383693045540e+00,-7.268089528377298159e+00,-7.228089528377298123e+00,-7.208089528377297661e+00,-7.228089528377298123e+00
9.600000000000001260e-07,4.066235011990407600e+00,4.046235011990407138e+00,4.036235011990407351e+00,4.016235011990407777e+00,-1.720791366906474940e+00,-1.650791366906474877e+00,-1.700791366906474922e+00,-1.730791366906474948e+00,1.759550759392485952e+00,1.753550759392485947e+00,1.771550759392485963e+00,1.757550759392485951e+00,2.415245403677058089e+00,2.419245403677058093e+00,2.411245403677058086e+00,2.423245403677058096e+00,1.642781774580335696e+00,1.702781774580335750e+00,1.652781774580335705e+00,1.642781774580335696e+00,-3.174196642685851444e+00,-3.194196642685851462e+00,-3.154196642685851426e+00,-3.154196642685851426e+00,-1.662150279776178907e+00,-1.632150279776178881e+00,-1.662150279776178907e+00,-1.672150279776178916e+00,-4.209752198241407228e+00,-4.189752198241406766e+00,-4.169752198241407193e+00,-4.209752198241407228e+00,1.761742605915267879e+00,1.755742605915267873e+00,1.761742605915267879e+00,1.773742605915267889e+00,3.444404476418864824e+00,3.494404476418864647e+00,3.484404476418864860e+00,3.494404476418864647e+00,-1.009520383693045531e+00,-1.019520383693045540e+00,-1.029520383693045549e+00,-1.009520383693045531e+00,-7.008089528377298372e+00,-7.048089528377298407e+00,-6.988089528377297910e+00,-7.088089528377298443e+00
1.039999999999999995e-06,4.306235011990407813e+00,4.286235011990407351e+00,4.266235011990407777e+00,4.246235011990407315e+00,-1.520791366906474984e+00,-1.490791366906474957e+00,-1.490791366906474957e+00,-1.510791366906474975e+00,1.757550759392485951e+00,1.753550759392485947e+00,1.769550759392485961e+00,1.753550759392485947e+00,2.419245403677058093e+00,2.391245403677058068e+00,2.411245403677058086e+00,2.403245403677058079e+00,2.182781774580335732e+00,2.152781774580335483e+00,2.142781774580335696e+00,2.202781774580335750e+00,-3.014196642685851302e+00,-2.954196642685851248e+00,-3.014196642685851302e+00,-2.974196642685851266e+00,-1.462150279776178952e+00,-1.442150279776178934e+00,-1.432150279776178925e+00,-1.442150279776178934e+00,-4.029752198241406624e+00,-4.049752198241407086e+00,-3.989752198241406589e+00,-4.009752198241407051e+00,1.763742605915267880e+00,1.749742605915267868e+00,1.769742605915267886e+00,1.773742605915267889e+00,3.694404476418864824e+00,3.714404476418864842e+00,3.704404476418865055e+00,3.744404476418864647e+00,-9.295203836930456820e-01,-9.895203836930456243e-01,-9.495203836930456998e-01,-9.795203836930456154e-01,-6.668089528377297626e+00,-6.728089528377298123e+00,-6.728089528377298123e+00,-6.708089528377297661e+00
1.120000000000000076e-06,4.546235011990407138e+00,4.526235011990407564e+00,4.566235011990407600e+00,4.546235011990407138e+00,-1.280791366906474993e+00,-1.300791366906475011e+00,-1.240791366906474957e+00,-1.240791366906474957e+00,1.761550759392485954e+00,1.751550759392485945e+00,1.767550759392485960e+00,1.757550759392485951e+00,2.399245403677058075e+00,2.379245403677058057e+00,2.395245403677058071e+00,2.387245403677058064e+00,2.692781774580335519e+00,2.672781774580335501e+00,2.652781774580335483e+00,2.672781774580335501e+00,-2.814196642685851124e+00,-2.714196642685851479e+00,-2.754196642685851071e+00,-2.674196642685851444e+00,-1.242150279776178978e+00,-1.252150279776178987e+00,-1.222150279776178960e+00,-1.262150279776178996e+00,-3.809752198241406429e+00,-3.789752198241406855e+00,-3.809752198241406429e+00,-3.809752198241406429e+00,1.761742605915267879e+00,1.751742605915267870e+00,1.761742605915267879e+00,1.769742605915267886e+00,3.974404476418865073e+00,3.964404476418864842e+00,3.944404476418864824e+00,3.964404476418864842e+00,-7.995203836930456776e-01,-7.895203836930456687e-01,-7.695203836930456509e-01,-7.895203836930456687e-01,-6.188089528377298087e+00,-6.268089528377298159e+00,-6.248089528377297697e+00,-6.228089528377298123e+00
1.199999999999999946e-06,4.776235011990407564e+00,4.766235011990407777e+00,4.786235011990407351e+00,4.766235011990407777e+00,-1.120791366906474851e+00,-1.060791366906475020e+00,-1.070791366906474806e+00,-1.060791366906475020e+00,1.753550759392485947e+00,1.745550759392485940e+00,1.761550759392485954e+00,1.749550759392485944e+00,2.403245403677058079e+00,2.395245403677058071e+00,2.391245403677058068e+00,2.395245403677058071e+00,3.202781774580335750e+00,3.172781774580335501e+00,3.162781774580335714e+00,3.222781774580335767e+00,-2.494196642685851284e+00,-2.514196642685851302e+00,-2.634196642685851408e+00,-2.514196642685851302e+00,-1.052150279776179032e+00,-1.022150279776179005e+00,-1.012150279776178996e+00,-1.032150279776179014e+00,-3.529752198241406624e+00,-3.549752198241406642e+00,-3.549752198241406642e+00,-3.569752198241406660e+00,1.757742605915267875e+00,1.749742605915267868e+00,1.759742605915267877e+00,1.773742605915267889e+00,4.184404476418865038e+00,4.224404476418865073e+00,4.174404476418865251e+00,4.184404476418865038e+00,-5.695203836930456953e-01,-5.395203836930456687e-01,-5.595203836930456864e-01,-5.595203836930456864e-01,-5.788089528377297732e+00,-5.728089528377298123e+00,-5.788089528377297732e+00,-5.848089528377298230e+00
1.280000000000000027e-06,5.076235011990407386e+00,5.036235011990407351e+00,4.996235011990407315e+00,5.036235011990407351e+00,-8.307913669064749262e-01,-8.807913669064748596e-01,-8.907913669064748685e-01,-8.707913669064748508e-01,1.751550759392485945e+00,1.747550759392485942e+00,1.759550759392485952e+00,1.747550759392485942e+00,2.375245403677058054e+00,2.387245403677058064e+00,2.391245403677058068e+00,2.375245403677058054e+00,3.692781774580335519e+00,3.702781774580335750e+00,3.672781774580335501e+00,3.702781774580335750e+00,-2.294196642685851106e+00,-2.354196642685851160e+00,-2.354196642685851160e+00,-2.314196642685851124e+00,-8.321502797761790582e-01,-8.421502797761790671e-01,-8.121502797761790404e-01,-8.521502797761790760e-01,-3.129752198241406713e+00,-3.089752198241406678e+00,-3.069752198241406660e+00,-3.109752198241406695e+00,1.749742605915267868e+00,1.739742605915267859e+00,1.755742605915267873e+00,1.767742605915267884e+00,4.464404476418865286e+00,4.474404476418865073e+00,4.454404476418864611e+00,4.474404476418865073e+00,-2.995203836930456776e-01,-3.195203836930455843e-01,-2.895203836930456687e-01,-3.095203836930455754e-01,-5.288089528377297732e+00,-5.328089528377297768e+00,-5.348089528377298230e+00,-5.368089528377297803e+00
1.360000000000000108e-06,5.266235011990407777e+00,5.286235011990407351e+00,5.266235011990407777e+00,5.206235011990407280e+00,-6.907913669064749129e-01,-6.507913669064748774e-01,-6.907913669064749129e-01,-6.707913669064748952e-01,1.749550759392485944e+00,1.741550759392485936e+00,1.757550759392485951e+00,1.749550759392485944e+00,2.391245403677058068e+00,2.379245403677058057e+00,2.371245403677058050e+00,2.387245403677058064e+00,4.202781774580335750e+00,4.202781774580335750e+00,4.162781774580335714e+00,4.152781774580335927e+00,-2.154196642685851426e+00,-2.174196642685851444e+00,-2.094196642685851373e+00,-2.094196642685851373e+00,-6.121502797761790848e-01,-5.921502797761790671e-01,-6.321502797761789916e-01,-5.921502797761790671e-01,-2.609752198241406695e+00,-2.649752198241406731e+00,-2.629752198241406713e+00,-2.569752198241406660e+00,1.747742605915267866e+00,1.745742605915267864e+00,1.755742605915267873e+00,1.761742605915267879e+00,4.674404476418865251e+00,4.744404476418864647e+00,4.714404476418865286e+00,4.734404476418864860e+00,-3.952038369304562704e-02,-4.952038369304562204e-02,-2.952038369304562510e-02,-1.952038369304562315e-02,-4.828089528377297768e+00,-4.888089528377298265e+00,-4.888089528377298265e+00,-4.808089528377298194e+00
1.439999999999999977e-06,5.526235011990407564e+00,5.506235011990407102e+00,5.506235011990407102e+00,5.496235011990407315e+00,-4.807913669064748929e-01,-4.707913669064748841e-01,-4.907913669064749018e-01,-4.707913669064748841e-01,1.747550759392485942e+00,1.741550759392485936e+00,1.759550759392485952e+00,1.741550759392485936e+00,2.363245403677058043e+00,2.387245403677058064e+00,2.371245403677058050e+00,2.379245403677058057e+00,4.722781774580335323e+00,4.692781774580335963e+00,4.692781774580335963e+00,4.692781774580335963e+00,-1.854196642685851160e+00,-1.934196642685851231e+00,-1.974196642685851266e+00,-1.914196642685851213e+00,-4.121502797761790182e-01,-4.121502797761790182e-01,-4.421502797761790449e-01,-4.421502797761790449e-01,-2.129752198241406713e+00,-2.109752198241406695e+00,-2.089752198241406678e+00,-2.129752198241406713e+00,1.749742605915267868e+00,1.739742605915267859e+00,1.747742605915267866e+00,1.765742605915267882e+00,4.934404476418865038e+00,4.984404476418864860e+00,4.924404476418865251e+00,4.974404476418865073e+00,2.104796163069543868e-01,2.004796163069543780e-01,2.404796163069543857e-01,2.304796163069543768e-01,-4.388089528377298265e+00,-4.408089528377297839e+00,-4.428089528377298301e+00,-4.448089528377297874e+00
1.520000000000000058e-06,5.806235011990407813e+00,5.756235011990407102e+00,5.776235011990407564e+00,5.776235011990407564e+00,-3.107913669064749085e-01,-2.807913669064748818e-01,-2.807913669064748818e-01,-3.007913669064748996e-01,1.749550759392485944e+00,1.739550759392485935e+00,1.753550759392485947e+00,1.737550759392485933e+00,2.355245403677058036e+00,2.363245403677058043e+00,2.359245403677058039e+00,2.347245403677058029e+00,5.192781774580335963e+00,5.202781774580335750e+00,5.172781774580335501e+00,5.182781774580335288e+00,-1.714196642685851257e+00,-1.734196642685851275e+00,-1.674196642685851222e+00,-1.734196642685851275e+00,-2.421502797761790338e-01,-2.421502797761790338e-01,-2.421502797761790338e-01,-2.121502797761790349e-01,-1.629752198241406713e+00,-1.649752198241406731e+00,-1.649752198241406731e+00,-1.609752198241406695e+00,1.753742605915267871e+00,1.737742605915267857e+00,1.749742605915267868e+00,1.755742605915267873e+00,5.194404476418864824e+00,5.204404476418864611e+00,5.244404476418864647e+00,5.234404476418864860e+00,4.404796163069544246e-01,4.204796163069544068e-01,4.604796163069543313e-01,4.604796163069543313e-01,-3.908089528377298283e+00,-3.928089528377298301e+00,-4.008089528377298372e+00,-3.928089528377298301e+00
